Nome ITA,Tipologia ITA,Nome latino,Descrizione ITA,Areale di distribuzione,Area protetta raggruppamento cc biodiversita,Livello di Conservazione,Specie bandiera,Regione,Nome ENG,Tipologia ENG,Descrizione ENG,Livello di Conservazione ENG
Frassino,Latifoglie,Fraxinus excelsior,"Tronco dritto e slanciato che può raggiungere i 40 m di altezza, corteccia grigio chiara con fessurazioni a cratere. Foglie composte imparipennate con 7-15 foglioline di forma lanceolata e seghettate. Gemme opposte, nere o nero brune e fiori riuniti in  racemi, il frutto è una samara alata di forma lineare-lanceolata.",Ovunque,Riserva Naturale I Pisconi,Quasi minacciata (NT),no,"Lombardia,Trentino,Veneto,Friuli-Venezia Giulia,Emilia-Romagna,Toscana,Umbria,Marche,Abruzzo,Lazio,Molise,Campania,Basilicata,Calabria,Sicilia,Sardegna,Piemonte,Liguria,Puglia,Val d'Aosta",Ash,Hardwoods,"Straight, slender trunk up to 40 mt. high, pale grey bark with crater-like fissures. Compound leaves with 7-15 spear-like, serrated leaflets. Opposite black or black-brown buds and flowers in racemes, the fruit is a winged spear-like samara",Near threatened
Genziana appenninica,Fiori,Gentiana dinarica,"Pianta erbacea perenne alta 5-8 cm, con foglie riunite alla base e scapi fiorali eretti. Porta fiori di 3-4 cm blu-viola con chiazze più scure. Specie officinale, come tutte quelle dei generi Gentiana e Gentianella, se ne utilizza la radice nella preparazione di liquori amari e tonici.","Marche, Lazio, Abruzzo, Umbria, Molise",Riserva naturale Monte Velino,Non applicabile (NA),no,"Marche, Lazio, Abruzzo, Umbria, Molise",Apennine Gentian,Flowers,"Herbaceous perennial plant 5-8 cm high, with leaves clustered at the base and upright flower stalks. Carries 3-4 cm blue-purple flowers with darker spots. Medicinal species, like all those in the genera Gentiana and Gentianella, its root is used in the preparation of bitter liqueurs and tonics.",Not applicable
Maggiociondolo,Latifoglie,Laburnum anagyroides Medik,"Arbusto o piccolo albero di 5-10 m di altezza, con fogliame deciduo e tronco eretto. Le foglie sono lungamente picciolate, lunghe sino a 6 cm, alterne, trifogliate, ellittiche, a margine intero. I fiori sono riuniti in racemi penduli lunghi sino a 25 cm, con corolla giallo-oro. I frutti sono legumi piatti, pubescenti, che contengono molti semi bruni e velenosi.",Tutta Italia tranne Sicilia e Sardegna. Incerta la presenza in Valle d'Aosta.,Riserva Naturale popolamento animale Formole,Minor preoccupazione (LC),no,"Lombardia,Trentino,Veneto,Friuli-Venezia Giulia,Emilia-Romagna,Toscana,Umbria,Marche,Abruzzo,Lazio,Molise,Campania,Basilicata,Calabria,Piemonte,Liguria,Puglia,Val d'Aosta",Laburnum,Hardwoods,"Shrub or small tree 5-10 mt. high, with deciduous foliage and an upright trunk. The leaves are long petiolate, up to 6 cm long, alternate, trifoliate, elliptic, with a smooth edge. The hanging flowers are up to 25 cm long, with a golden-yellow petals. The fruits are flat, pubescent legumes containing many brown, poisonous seeds.",Least concern
Stella Alpina,Fiori,Leontopodium alpinum,"Pianta erbacea perenne, cespitosa, interamente ricoperta di pelosità bianco-tomentosa, alta 10-30 cm; foglie verdastre o grigio-tomentose; numerosi capolini con foglie bratteali, bianco nivee, scariose al margine e lanose, raggianti. Fiori solo tubulosi bianco-giallastri, i centrali ermafroditi, ma sterili, i periferici filiformi e femminili.",Arco Alpino,Riserva Naturale Integrale Monte Faverghera,Minor preoccupazione (LC),no,"Piemonte,Lombardia,Trentino,Veneto,Friuli-Venezia Giulia",Edelweiss,Flowers,"Perennial herbaceous plant, growing a dense turf, entirely covered with white densely matted woolly hairs, 10-30 cm high; leaves greenish or grey-tomentose; numerous flower heads with bract-like, snow-white, woolly, radiating leaves. With tubular yellowish-white flowers, central hermaphrodite but sterile flowers, and peripheral thread-like and delicate.",Least concern
Orchide Italiana,Fiori,Orchis italica Poir,"Pianta erbacea perenne alta 20-50 cm. Porta un’infiorescenza densa, dapprima conica, poi ovata, di colore rosato con venature porporine. Foglie basali a rosetta, con margine ondulato.","Centro e sud Italia, manca in Sardegna.",Riserva naturale orientata Murge Orientali,Minor preoccupazione (LC),no,"Toscana,Umbria,Marche,Lazio,Campania,Puglia,Basilicata,Calabria,Sicilia",Italian Orchid,Flowers,"Herbaceous perennial plant 20-50 cm high. Bears a dense blooms, initially cone-shaped, then oval, pinkish in colour with purple veins. Rosette-shaped lower leaves with a wavy edge.",Least concern
Peonia Italica,Fiori,Peonia  officinalis subsp. Italica,"Pianta perenne, erbacea con rizoma legnoso alla base a radici tuberose, alta 30-60 cm. Foglie grandi, verdi di sopra, pubescenti nella pagina inferiore. Fiore apicale unico, inizialmente globoso e verde, di un bel rosso porpora alla fioritura.","Friuli Venezia Giulia, Lombardia, Veneto",Riserva Naturale Feudo Intramonti,Minor preoccupazione (LC),no,"Friuli-Venezia Giulia,Lombardia,Veneto",Italic Peony,Flowers,"Perennial, herbaceous plant with woody rhizome at the base and tuberous roots, 30-60 cm high. Large leaves, green above, pubescent below. Single top flower, initially globular and green, purple-red in bloom.",Least concern
Giglio marino,Arbusti e felci,Pancratium maritimum,"Pianta erbacea bulbosa perenne, alta 30-50 cm, caratterizzata da un'infiorescenza bianca formata da 5-10 fiori molto profumati. Le foglie basali sono lunghe 50-60 cm, a lamina lineare e ritorta a spirale, colore verde chiaro e spesso marcescenti durante la fioritura. Produce grandi quantità di piccoli semi neri, che galleggiano sull’acqua e sono dispersi lungo le coste dalle correnti marine.",Dune costiere tranne Friuli Venezia Giulia,"Riserva Naturale Comprensorio di Fogliano -Laghi di Fogliano,Monaci e di Caprolace",Non applicabile (NA),no,"Liguria,Toscana,Lazio,Campania,Puglia,Basilicata,Calabria,Sicilia,Sardegna",Sea Lily,Shrubs and ferns,"Herbaceous bulbous perennial plant, 30-50 cm high, characterised by a white blossom consisting of 5-10 very fragrant flowers. The basal leaves are 50-60 cm long, with linear, spirally twisted blades, light green in colour and often rotting when flowering. It produces large quantities of small black seeds, which float on the water and are dispersed along the coast by sea currents.",Not applicable
Fillirea,Arbusti e felci,Phyllirea latifolia L.,"Pianta legnosa sempreverde, con portamento di arbusto o raramente di alberello. Ha tronco di forma irregolare e foglie opposte, coriacee, con picciolo di 1-5 mm, lamina allargata o ovata. Fiori in infiorescenza a racemo e corolla composta da 4 petali di colore bianco roseo, giallastro o giallo-verdastro. Il frutto è una drupa carnosa subsferica lunga 10 mm e larga 7 mm, di colore rosso poi nera a maturità.",Presente in tutta Italia tranne Piemonte e Valle d'Aosta,Riserva Naturale orientata Murge Orientali,Minor preoccupazione (LC),no,"Lombardia,Trentino,Veneto,Friuli-Venezia Giulia,Emilia-Romagna,Toscana,Umbria,Marche,Abruzzo,Lazio,Molise,Campania,Basilicata,Calabria,Sicilia,Sardegna,Liguria,Puglia",Phillyrea,Shrubs and ferns,"Woody evergreen with shrub-like or occasionally sapling behavior. It has an irregularly shaped trunk and opposing irregular leathery leaves with a 1-5 mm stalk and enlarged or oval blades. Flowers in a cone shaped blossom with petals consisting of 4 pinkish-white, yellowish or greenish-yellow petals. The fruit is a fleshy subspherical drupe 10 mm long and 7 mm wide, red then black when ripe.",Least concern
Pino d'Aleppo,Conifere,Pinus halepensis,"Pino a due aghi con chioma lassa di colore verde chiaro, spesso più ampia verso la cima che alla base. Tronco spesso e contorto alto fino a 15-20 m, con corteccia argentata nei giovani. Aghi ,sottili e morbidi, lunghi 7-10 cm. Coni maschili di colore giallo dorato e coni femminili di colore bruno-rosso. Strobili lunghi 5-10 cm e provvisti di breve peduncolo ricurvo verso il basso. Pirofita attiva, dissemina dopo il passaggio del fuoco.","Puglia, Liguria, Marche, Sicilia",Riserva Naturale Biogenetica StoRiserva Naturaleara e Marinella,Minor preoccupazione (LC),no,"Puglia,Liguria,Marche,Sicilia",Aleppo Pine,Conifers,"Two-needle pine with loose, light green foliage, often broader towards the top than at the base. Thick, twisted trunk up to 15-20 mt. high, with silvery bark when seedlings. Needles, thin and soft, 7-10 cm long. Golden yellow male cones and red-brown female cones. Strobili 5-10 cm long and provided with a short, downward curved stalk. Active pyrophyte, disseminates after fire.",Least concern
Pino mugo,Conifere,Pinus mughus,"Arbusto cespuglioso con rami prostrati e ascendenti verso l'apice, altezza 2-5 m; foglie aghiformi riunite in fascetti di due, robuste e pungenti e lunghe 28-45 mm. Fiori maschili gialli raggruppati in coni nella parte inferiore dei rametti giovani, mentre i fiori femminili sono riuniti in piccoli coni di colore violaceo in amenti terminali. Strobili lunghi 3-5 cm con squame ornate da umbone centrale, a maturazione biennale.","Arco alpino, prealpi lombarde -venete , Abruzzo",Riserva Naturale Monte Velino,Minor preoccupazione (LC),no,"Lombardia,Veneto,Trentino,Friuli-Venezia Giulia,Piemonte",Mountain pine,Conifers,"Bushy shrub with prostrate, ascending branches towards the apex, height 2-5 mt.; needle-like leaves grouped in clusters of two, robust and prickly, 28-45 mm long. Yellow male flowers grouped in cones in the lower part of young twigs, female flowers in small purple cones in terminal catkins. Strobilus 3-5 cm long with scales adorned with a central umbo, maturing biennially.",Least concern
Lentisco,Arbusti e felci,Pistacia lentiscus,"Pianta sempreverde a portamento arbustivo alto 1-3 m, con accentuato odore di resina. Chioma generalmente densa per la fitta ramificazione orizzontale, con foglie paripennate con 6-10 segmenti ellittico-lanceolati a margine intero e apice ottuso. Fiori in pannocchie brevi all'ascella delle foglie. Il frutto è una drupa globosa di diametro 4-5 mm, carnosa e rossastra, poi tendente al nero.",Bacino del Mediterraneo,Riserva Naturale Biogenetica Tombolo di Cecina,Minor preoccupazione (LC),no,"Puglia,Calabria,Sicilia,Sardegna,Campania",Lentiscus,Shrubs and ferns,"Evergreen shrub-like plant 1-3 mt. high, with a pronounced resinous smell. Canopy generally dense due to dense horizontal branching, with paripinnate smooth edged leaves with 6-10 with elliptic spear shaped segments and obtuse apex. Flowers in short panicles at the axilla of the leaves. The fruit is a globular drupe 4-5 mm in diameter, fleshy and reddish, later turning black.",Least concern
Leccio,Latifoglie,Quercus ilex,"Sempreverde con portamento arboreo alta fino a 25 m, chioma globosa e densa con foglie coriacee e scure nella pagina superiore e grigio feltrose nella pagina inferiore. È dotata di spiccata eterofillia. Fiori maschili in amenti penduli e i femminili riuniti in 6-7 fiori. Ghiande con cupole che coprono 1/3 o metà o a volte tutta la ghianda.","Isole, lungo coste liguri tirreniche e ioniche",Riserva Forestale di Protezione e Biogenetica Duna Feniglia,Minor preoccupazione (LC),no,"Sicilia,Sardegna,Liguria,Toscana,Lazio,Campania,Calabria,Puglia,Basilicata",Holm oak,Hardwoods,"Evergreen with arboreal appearance, up to 25 mt. high, dense globular crown with leathery, dark leaves on the upper side and felt-grey leaves on the underside. It has distinct heterophylly. Male flowers in pendulous catkins and the female flowers in 6-7 clusters. Acorns with domes covering 1/3 or half or sometimes the whole acorn.",Least concern
Sughera,Latifoglie,Quercus suber,"Quercia sempreverde che può raggiungere i 20 m di altezza. La corteccia si ispessisce in un ritidoma rugoso e spugnoso che in pochi anni può raggiungere lo spessore di 5-7 cm, il ""sughero"". Le foglie sono ovato lanceolate a margine intero o con 4-7 denti acuti, accentuati nelle foglie giovani. I fiori maschili sono sessili riuniti in amenti e i femminili in spighe erette. Ghianda con cupola che copre circa la metà della ghianda.","Sicilia, Sardegna, lungo la fascia costiera meridionale della Toscana",Riserva naturale Tocchi,Minor preoccupazione (LC),no,"Sicilia,Sardegna,Toscana",Cork,Hardwoods,"Evergreen oak that can reach 20 mt. in height. The bark thickens into a rough, spongy rhytidome 'cork' that can reach a thickness of 5-7 cm in a few years. The leaves are oval spear-shaped blade with a smooth edge or with 4-7 acute teeth, accentuated in young leaves.",Least concern
Ramno alpino,Arbusti e felci,Rhamnus alpin,"Arbusto nano strisciante, alto 5-25 cm; rami alterni prostrato-tortuosi e pubescenti da giovani; foglie alterne riunite in fascetti all'apice dei rami, generalmente da ovali a subrotonde, lunghe 3-5(6) cm e larghe 1-2 cm, a bordo dentellato; fiori dioici (maschili e femminili su piante diverse); frutto globoso drupaceo, dapprima verde-roseo e poi nerastro.","Ovunque tranne veneto, friuli venezia giulia, puglia e sicilia",Riserva Naturale  Feudo Intramonti,Minor preoccupazione (LC),no,"Lombardia,Trentino,Emilia-Romagna,Toscana,Umbria,Marche,Abruzzo,Lazio,Molise,Campania,Basilicata,Calabria,Sardegna,Piemonte,Liguria,Val d'Aosta",Alpine Ramno,Shrubs and ferns,"Dwarf crawling shrub, 5-25 cm high; alternate prostrate-winding and pubescent branches when young; alternate leaves in clusters at the apex of the branches, usually oval to sub-rounded, 3-5(6) cm long and 1-2 cm wide, with serrated edge; dioecious flowers (male and female on different plants); globular drupaceous fruit, initially pinkish-green and then blackish.",Least concern
Salicornia europea,Fiori,Salicornia europea L.,"Frutice perenne molto ramoso, succulento, glauco e alto 30-100 cm. con foglie squamiformi, carnose, che col sopraggiungere dell'autunno assumono una colorazione rossastra. Infiorescenze in spighe terminali piccolissime e quasi invisibili. I semi sono piccoli acheni neri","Ovunque tranne Piemonte, Valle d'Aosta, Umbria, province di Trento e Bolzano. Estinta in Lombardia",Riserva naturale orientata Sacca di Bellocchio,Minor preoccupazione (LC),no,"Trentino,Veneto,Friuli-Venezia Giulia,Emilia-Romagna,Toscana,Marche,Abruzzo,Lazio,Molise,Campania,Basilicata,Calabria,Sicilia,Sardegna,Liguria,Puglia",European saltwort,Flowers,"Very branchy, succulent, opaque perennial fruit 30-100 cm high with scaly, fleshy leaves that turn reddish in autumn. Blooms in very small, almost invisible dangerous spikes. Seeds are small black achenes.",Least concern
Rosmarino,Arbusti e felci,Salvia rosmarinus,"Arbusto legnoso perenne sempreverde, ramosissimo e mai veramente eretto, alto fino a 2 m, con foglie lineari larghe 2-3 mm e lunghe 15-30 mm, opposte lungo i rami e in fascetti ascellari. Fiori raccolti in racemi generalmente nella parte superiore dei rami, ciascuno con 4-16 fiori. Corolla azzurro-chiara o lilla, a volte rosa o bianca bilabiata. Il frutto è un achenio.",Bacino del Mediterraneo,Riserva Naturale Pineta di Ravenna,Minor preoccupazione (LC),no,"Puglia,Calabria,Sicilia,Sardegna,Campania",Rosemary,Shrubs and ferns,"Woody perennial shrub, arboreal and never truly upright, up to 2m high, with linear leaves 2-3mm wide and 15-30mm long, opposite along the branches and in axillary clusters. Flowers collected in racemes generally at the top of the branches, each with 4-16 flowers. Petals light blue or lilac, sometimes pink or white bilabiate. The fruit is an achene.",Least concern
Tiglio,Latifoglie,Tilia cordata ,"Può raggiungere 25-30 m di altezza, ha corteccia di colore grigio, liscia in gioventù , poi fessurata da sottili solchi longitudinali milto separati l'uno dall'altro;  foglia  cordata con pagina inferiore chiara e con ciuffi di peli bruno-rugginosi all'ascella delle nervature. Fiori bianco giallognoli con peduncolo allungato in dotato di un’ala ellittica membranacea.F183        ","Ovunque tranne Calabria, Sicilia, Sardegna. Incerta in Umbria",Riserva naturale integrale Sasso Fratino,Minor preoccupazione (LC),no,"Lombardia,Trentino,Veneto,Friuli-Venezia Giulia,Emilia-Romagna,Toscana,Umbria,Marche,Abruzzo,Lazio,Molise,Campania,Basilicata,Piemonte,Liguria,Puglia,Val d'Aosta",Linden,Hardwoods,"Reaching 25-30 m in height, has grey bark, smooth when young, with vertical ridges and horizontal fissures milto separated from each other; rope leaf with pale underside and with tufts of rusty-brown hairs at the axil of the veins. Flowers yellowish-white with elongated stalk with an elliptical membranous wing.",Least concern
Botton d'oro,Fiori,Trollius europaeus l.,"Pianta perenne, erbacea, alta sino a 60 cm. Ha foglie basali palmate con lungo picciolo e fiori giallo-oro con una caratteristica forma globosa. La struttura compatta del fiore protegge stami e pistilli dalla pioggia. Contiene un alcaloide che la rende tossica ed evitata dal bestiame da fresca (da secca perde la tossicità).",Tutte le regioni del nord e centro Italia. Dubbia in Umbria,Riserva naturale integrale Sasso Fratino,Non applicabile (NA),no,"Piemonte,Val d'Aosta,Lombardia,Trentino,Veneto,Friuli-Venezia Giulia,Emilia-Romagna,Toscana,Umbria,Marche,Lazio",Golden button,Flowers,"Perennial, herbaceous plant, up to 60 cm high. It has palmate basal leaves with a long stalk and golden-yellow flowers with a characteristic globular shape. The compact structure of the flower protects stamens and pistils from rain. It contains an alkaloid that makes it toxic and avoided by livestock when fresh (when dry it loses its toxicity).",Not applicable
